,,,,,,,IDEP,,META,,,,
Cod_Esc,Escola,Diretoria,Distrito,NSE,ICG,Faixa,2018,2019,2019,2020,2021,2022,2023
094447,EMEF RENATO ANTONIO CHECCHIA PROF EMEF,PIRITUBA,PIRITUBA,3,2,2,"2,9","2,9","3,3","3,6","4,0","4,4","4,7"
094463,EMEF LEONEL FRANCA PADRE EMEF,PIRITUBA,JARAGUA,3,2,2,"3,2","3,4","3,5","3,8","4,1","4,5","4,8"
093548,EMEF SATURNINO PEREIRA EMEF,GUAIANASES,CIDADE TIRADENTES,3,2,2,"3,3","4,0","3,6","3,9","4,2","4,4","4,7"
009971,EMEF LUIZ GONZAGA DO NASCIMENTO EMEF,IPIRANGA,SACOMA,3,2,2,"3,3","3,4","3,7","4,0","4,4","4,7","5,1"
019220,EMEF MARIO LAGO EMEF,PIRITUBA,JARAGUA,3,2,2,"3,4","3,8","3,6","3,9","4,1","4,4","4,6"
094200,EMEF MILTOM CAMPOS SENADOR EMEF,FREGUESIA/BRASILANDIA,BRASILANDIA,3,2,2,"3,4","2,9","3,7","3,9","4,2","4,4","4,7"
095141,EMEF VICENTINA RIBEIRO DA LUZ EMEF,ITAQUERA,ARICANDUVA,3,2,2,"3,5","4,0","3,8","4,1","4,4","4,7","5,1"
092819,EMEF BRASIL JAPAO EMEF,BUTANTA,RIO PEQUENO,3,2,2,"3,6","3,3","3,8","4,1","4,3","4,6","4,9"
013803,EMEF JULIO DE GRAMMONT EMEF,SAO MATEUS,SAO RAFAEL,3,2,2,"3,6","3,8","3,8","4,0","4,2","4,5","4,7"
094218,EMEF ANDRE RODRIGUES ALCKMIN PROF EMEF,FREGUESIA/BRASILANDIA,BRASILANDIA,3,2,2,"3,6","4,2","3,9","4,2","4,5","4,8","5,1"
019195,EMEF JOSE KAUFFMANN DR EMEF,PIRITUBA,JARAGUA,3,2,2,"3,6","3,8","3,8","4,0","4,3","4,5","4,7"
095257,EMEF ANTONIO DE SAMPAIO DORIA PROF EMEF,SANTO AMARO,CIDADE ADEMAR,3,2,2,"3,7","3,6","4,0","4,3","4,6","5,0","5,3"
019222,EMEF VEREMUNDO TOTH DOM EMEF,CAMPO LIMPO,VILA ANDRADE,3,2,2,"3,7","3,7","4,0","4,2","4,5","4,9","5,2"
000540,EMEF RAUL POMPEIA EMEF,PIRITUBA,JARAGUA,3,2,2,"3,7","4,1","3,9","4,2","4,4","4,7","4,9"
092789,EMEF LUIZ EDUARDO MATARAZZO CONDE EMEF,BUTANTA,RIO PEQUENO,3,2,2,"3,7","4,5","4,0","4,3","4,6","4,9","5,2"
019488,EMEF PAULO CARNEIRO THOMAZ ALVES GENERAL EMEF,JACANA/TREMEMBE,VILA MARIA,3,2,2,"3,7","3,7","3,9","4,1","4,3","4,5","4,7"
092681,EMEF JOSE DE ALCANTARA MACHADO FO EMEF,BUTANTA,MORUMBI,3,2,2,"3,7","3,4","4,0","4,3","4,5","4,8","5,1"
013528,EMEF ANNA LAMBERGA ZEGLIO VEREADORA EMEF,GUAIANASES,CIDADE TIRADENTES,3,2,2,"3,8","4,1","4,1","4,3","4,5","4,7","5,0"
018830,EMEF PAULO FREIRE PROF EMEF,CAMPO LIMPO,VILA ANDRADE,3,2,2,"3,8","4,2","4,2","4,5","4,9","5,3","5,6"
092975,EMEF OTONIEL MOTA EMEF,CAMPO LIMPO,JARDIM SAO LUIS,3,2,2,"3,9","4,3","4,1","4,4","4,7","5,0","5,2"
092959,EMEF IRACEMA MARQUES SILVEIRA PROFA EMEF,CAMPO LIMPO,CAPAO REDONDO,3,2,2,"3,9","4,6","4,3","4,6","5,0","5,3","5,7"
093084,EMEF DE GAULLE GENERAL EMEF,CAMPO LIMPO,JARDIM SAO LUIS,3,2,2,"4,0","4,5","4,2","4,5","4,8","5,0","5,3"
092886,EMEF OLIVEIRA VIANA EMEF,CAMPO LIMPO,JARDIM ANGELA,3,2,2,"4,0","4,1","4,3","4,6","4,8","5,1","5,5"
093891,EMEF ARMANDO CRIDEY RIGHETTI EMEF,SAO MIGUEL,JARDIM HELENA,3,2,2,"4,0","4,3","4,3","4,6","4,9","5,2","5,5"
095575,EMEF CIDADE DE OSAKA EMEF,SAO MATEUS,SAO RAFAEL,3,2,2,"4,0","4,7","4,3","4,6","4,9","5,3","5,6"
094625,EMEF DUQUE DE CAXIAS EMEF,IPIRANGA,SE,3,2,2,"4,0","4,2","4,3","4,6","4,8","5,1","5,4"
019020,EMEF JAIRO DE ALMEIDA PROF EMEF,PIRITUBA,PERUS,3,2,2,"4,1","4,1","4,2","4,4","4,6","4,8","5,0"
019480,"EMEF ABRAO HUCK, DR.",IPIRANGA,SACOMA,3,2,2,"4,1","4,5","4,3","4,6","4,8","5,1","5,3"
