,,,,,,,IDEP,,META,,,,
Cod_Esc,Escola,Diretoria,Distrito,NSE,ICG,Faixa,2018,2019,2019,2020,2021,2022,2023
019208,EMEF LUIZ ROBERTO MEGA PROF,GUAIANASES,CIDADE TIRADENTES,4,1,3,"4,1","4,4","4,3","4,5","4,8","5,0","5,3"
019269,CEU EMEF PARQUE SAO CARLOS,SAO MIGUEL,VILA JACUI,4,1,3,"4,1","4,4","4,3","4,6","4,8","5,0","5,3"
012157,EMEF ELIAS SHAMMASS,GUAIANASES,CIDADE TIRADENTES,4,1,3,"4,1","4,3","4,4","4,6","4,8","5,1","5,3"
019607,EMEF ANTONIO RODRIGUES DE CAMPOS PROF,PIRITUBA,JARAGUA,4,1,3,"4,2","4,3","4,4","4,7","4,9","5,1","5,4"
019262,CEU EMEF BUTANTA,BUTANTA,RIO PEQUENO,4,1,3,"4,2","4,2","4,4","4,7","4,9","5,1","5,4"
019496,EMEF PLINIO MARCOS,CAPELA DO SOCORRO,PARELHEIROS,4,1,3,"4,2","3,5","4,5","4,7","4,9","5,2","5,4"
019443,EMEF CONJUNTO HABITACIONAL BARRO BRANCO II C,GUAIANASES,CIDADE TIRADENTES,4,1,3,"4,3","4,7","4,5","4,7","5,0","5,2","5,4"
097055,EMEF JUSCELINO KUBITSCHEK DE OLIVEIRA PRES,GUAIANASES,GUAIANASES,4,1,3,"4,3","4,3","4,5","4,7","5,0","5,2","5,5"
010405,EMEF NILDO DO AMARAL JUNIOR PADRE,SAO MIGUEL,ITAIM PAULISTA,4,1,3,"4,3","3,9","4,5","4,7","5,0","5,2","5,5"
019503,EMEF JARDIM BARTIRA,SAO MIGUEL,VILA CURUCA,4,1,3,"4,3","4,4","4,5","4,8","5,0","5,2","5,5"
019341,EMEF JARDIM GUARANI,FREGUESIA/BRASILANDIA,BRASILANDIA,4,1,3,"4,3","4,3","4,5","4,8","5,0","5,2","5,5"
019420,EMEF MARIA LUCIA DOS SANTOS PROFA,SANTO AMARO,CIDADE ADEMAR,4,1,3,"4,3","3,9","4,6","4,8","5,0","5,3","5,5"
019405,EMEF GILBERTO DUPAS PROFESSOR,FREGUESIA/BRASILANDIA,CACHOEIRINHA,4,1,3,"4,4","4,1","4,6","4,8","5,1","5,3","5,5"
093556,EMEF FELICIO PAGLIUSO PROF,SAO MATEUS,IGUATEMI,4,1,3,"4,4","4,0","4,6","4,9","5,1","5,3","5,6"
014249,EMEF ERNESTO DE MORAES LEME PROF,PIRITUBA,JARAGUA,4,1,3,"4,4","4,2","4,6","4,9","5,1","5,3","5,6"
093718,EMEF ANTONIO DUARTE ALMEIDA PROF,ITAQUERA,ITAQUERA,4,1,3,"4,4","4,5","4,7","4,9","5,1","5,4","5,6"
019492,EMEF EMEF PERATUBA II,CAMPO LIMPO,JARDIM ANGELA,4,1,3,"4,5","4,6","4,7","4,9","5,1","5,4","5,6"
